,g,ids,m,p,p2,p2g,pg,label
0,0.9166666666666666,"[122886, 166528, 260, 2628, 33493, 5378, 61160]",0.619286263855778,0.7454754629273465,0.415409160814303,0.6660379137404848,0.8310710647970065,SW
1,0.5366666666666668,"[136864, 1377, 153, 26152, 33794, 592, 91056]",0.5310355120967261,0.5660691913183326,0.3090262188723222,0.4228464427694945,0.5513679289924996,BT
2,0.5777777777777778,"[110553, 52722, 5349, 8636, 95510, 170297, 2153]",0.5697847362147324,0.2708389225659894,0.2647471852818423,0.4212624815298101,0.4243083501718836,SM
3,0.5066666555555555,"[1270, 2011, 2012, 172255, 2571, 6365, 6934]",0.543371233393497,0.11416280775033763,0.39837054704123304,0.45251860129839433,0.3104147316529466,BTF
4,0.875,"[1, 106022, 120474, 3114, 78499, 45517, 87876]",0.6003843361128314,0.32755681631866307,0.3086043886778315,0.5918021943389157,0.6012784081593315,TS
5,0.5,"[112370, 147597, 174585, 4006, 53996, 69526, 87520]",0.6374251399303938,0.7176558647853808,0.36641816378525177,0.4332090818926259,0.6088279323926904,TF
6,1.0,"[1954, 2409, 2410, 2411, 2412, 49651, 89045]",0.7073122729862101,0.7154332507286746,0.34388222054974543,0.6719411102748727,0.8577166253643373,RK
7,0.6666666666666666,"[2706, 39715, 4718, 50189, 59429, 73106, 69122]",0.5443052441637519,0.14096489416358424,0.3588355882554561,0.5127511274610613,0.40381578041512545,AP
8,0.5511111111111113,"[106487, 116823, 135133, 91500, 114180, 117895, 108190]",0.5809637789930214,0.48008071042238126,0.3051799931403731,0.4281455521257422,0.5155959107667463,HG
9,0.7177777777777778,"[2116, 4993, 5952, 7153, 106489, 118696, 26403]",0.6388573064231582,0.9114809966348302,0.4565896581138295,0.5871837179458037,0.8146293872063041,LR
