,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
2,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
3,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
4,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
5,541,Blade Runner (1982),Action|Sci-Fi|Thriller
6,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
7,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
8,858,"Godfather, The (1972)",Crime|Drama
9,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
10,1193,One Flew Over the Cuckoo's Nest (1975),Drama
11,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
12,1214,Alien (1979),Horror|Sci-Fi
13,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
14,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
15,2959,Fight Club (1999),Action|Crime|Drama|Thriller
16,3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
17,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
18,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
19,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
20,5218,Ice Age (2002),Adventure|Animation|Children|Comedy
21,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
22,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
23,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
24,6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
25,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
26,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
27,8957,Saw (2004),Horror|Mystery|Thriller
28,8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
29,33794,Batman Begins (2005),Action|Crime|IMAX
30,34150,Fantastic Four (2005),Action|Adventure|Sci-Fi
31,45722,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy
32,49272,Casino Royale (2006),Action|Adventure|Thriller
33,52722,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX
34,53125,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy
35,54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
